,dia,vah,vpoc,val,vol,range,vwap,open,high,low,close,vol_vah,vol_vpoc,vol_val,poc_naked,rango_area,delta,vix_close,dia_semanal
34,02/02/2023,12858.5,12793.75,12676.75,801100,1792,12738.58,12520.0,12949.75,12501.75,12846.75,1100,5700,2200,0,181.75,-1.6,18.73,Jueves
35,02/03/2023,12736.0,12622.25,12579.25,811800,1307,12697.53,12748.25,12878.0,12551.25,12624.0,2000,6600,2200,0,156.75,-8700.0,18.33,Viernes
36,02/06/2023,12567.5,12544.75,12499.75,529500,611,12533.68,12572.0,12608.5,12455.75,12515.5,3900,7900,3900,0,67.75,-954.0,19.43,Lunes
37,02/07/2023,12660.0,12511.25,12474.25,729600,1437,12602.37,12513.0,12818.5,12458.25,12776.75,717,6800,681,1,185.75,3800.0,18.66,Martes
38,02/08/2023,12693.5,12544.75,12512.75,572200,1183,12634.38,12747.0,12808.5,12512.75,12545.25,1300,6500,51,0,180.75,3200.0,19.63,Miercoles
39,02/09/2023,12726.25,12687.5,12524.5,607900,1448,12574.58,12555.0,12728.5,12366.5,12425.0,368,4700,2700,0,201.75,-1500.0,20.71,Jueves
40,02/10/2023,12361.0,12329.25,12278.25,594600,833,12337.21,12448.75,12451.5,12243.25,12346.25,1900,7700,2200,0,82.75,-2700.0,20.53,Viernes
41,02/13/2023,12567.0,12541.25,12429.25,461900,1207,12466.55,12357.5,12567.0,12265.25,12540.5,135,7200,2300,0,137.75,-1600.0,20.34,Lunes
42,02/14/2023,12436.5,12529.5,12436.5,710600,1186,12544.93,12547.25,12687.0,12390.5,12631.0,4900,6200,1400,0,155.75,-1700.0,18.91,Martes
43,02/15/2023,12650.0,12574.25,12539.25,561200,929,12620.8,12620.75,12756.5,12524.25,12730.0,1900,5500,1400,0,110.75,3800.0,18.23,Miercoles
44,02/16/2023,12692.0,12657.25,12544.25,669800,1350,12611.06,12740.0,12792.75,12455.25,12482.5,1100,8700,3600,0,147.75,2500.0,20.17,Jueves
45,02/17/2023,12401.5,12391.75,12315.75,621200,802,12352.64,12462.5,12466.25,12265.75,12390.0,3000,8700,5500,0,85.75,1500.0,20.02,Viernes
46,02/20/2023,12401.25,12376.5,12369.5,69200,285,12382.18,12382.75,12417.75,12346.5,12366.5,982,2200,1300,0,31.75,1500.0,20.02,Lunes
47,02/21/2023,12235.0,12112.25,12093.25,532400,1157,12196.22,12380.0,12379.5,12090.25,12096.75,3000,4500,939,0,141.75,-3800.0,22.87,Martes
48,02/22/2023,12147.75,12102.0,12079.0,632700,626,12108.17,12108.0,12190.5,12034.0,12097.5,4900,10200,4700,0,68.75,-686.0,22.29,Miercoles
49,02/23/2023,12260.25,12207.5,12127.5,632900,930,12163.75,12176.25,12261.0,12028.5,12207.5,372,8800,1500,0,132.75,-2500.0,21.14,Jueves
50,02/24/2023,11999.75,11962.0,11939.0,631100,1166,11994.22,12191.25,12214.5,11923.0,11997.0,7900,9400,4800,1,60.75,-2700.0,21.67,Viernes
